,Cluster,Word_Type,Weights
227,0,bilgisayar,2.232262442630855e-06
228,8,sistemlerindeki,2.232262442630855e-06
229,0,teknik,2.232262442630855e-06
230,0,problemlerden,2.232262442630855e-06
231,0,kaynakli,2.232262442630855e-06
232,0,ekonomik,2.232262442630855e-06
233,4,author,0.0005870850224119
234,12,ataturk,4.46452488526171e-06
235,4,standing,4.464524885261711e-05
236,8,islamic,4.464524885261711e-05
237,5,prayer,4.464524885261711e-05
238,8,mat,2.232262442630855e-06
239,17,humiliate,4.46452488526171e-06
240,8,islam,1.3393574655785133e-05
241,8,religion,7.366466060681822e-05
242,5,what,0.001221047556119
243,4,photo,0.0005402075111166
244,8,turkish,6.6967873278925655e-06
245,8,rug,2.232262442630855e-06
246,4,traditional,2.4554886868939407e-05
247,4,motives,1.5625837098415986e-05
248,15,according,0.0015938353840384
249,4,belief,4.9109773737878815e-05
250,8,prayers,4.46452488526171e-06
251,8,performed,3.125167419683197e-05
252,1,any,0.0017054485061699
253,8,clean,2.6787149311570265e-05
254,5,it's,0.0011585442077254
255,4,official,0.000410736289444
256,4,note,0.0002790328053288
257,5,about,0.0020648427594335
258,8,birdwatch,0.0008147757915602
259,15,here,0.0012322088683322
260,8,someone,0.0004821686876082
261,2,corroborating,1.1161312213154276e-05
262,0,aoc's,1.3393574655785133e-05
263,5,whereabouts,4.46452488526171e-06
264,8,dodgers,2.232262442630855e-06
265,8,signed,9.598728503312675e-05
266,4,bauer,2.232262442630855e-06
267,15,rick,2.0090361983677695e-05
268,0,astley,4.46452488526171e-06
269,8,dead,7.812918549207993e-05
270,5,meant,0.0001607228958694
271,19,purely,3.3483936639462826e-05
272,4,confusion,1.5625837098415986e-05
273,4,see,0.0007567369680518
274,4,wikipedia,6.696787327892565e-05
275,4,proven,0.0004821686876082
276,4,wrong,0.0003259103166241
277,5,again,0.0001897423076236
278,4,statement,0.0008929049770523
279,4,multiple,0.0004799364251656
280,4,pieces,2.6787149311570265e-05
281,4,bus,1.785809954104684e-05
282,5,every,0.0018125971034162
283,8,available,0.0004062717645588
284,4,online,9.152276014786506e-05
285,5,will,0.0012567637552011
286,4,confirm,7.812918549207993e-05
287,6,tweeting,5.357429862314053e-05
288,8,covered,4.01807239673554e-05
289,5,under,0.000598246334625
290,8,first,0.0006518206332482
291,8,amendment,0.0003102844795256
