,Cluster,Word_Type,Weights
511,3,seem,9.821954747575764e-05
512,6,legitimize,2.232262442630855e-06
513,3,without,0.0005625301355429
514,7,evidence,0.0031296319445684
515,7,fraud,0.0012545314927585
516,12,presidential,0.0005491365608871
517,12,election,0.0033975034376841
518,7,numerous,0.0011094344339875
519,7,courts,6.47356108362948e-05
520,3,found,0.0005781559726413
521,7,merit,1.1161312213154276e-05
522,7,mocking,1.785809954104684e-05
523,19,screenshotted,4.46452488526171e-06
524,7,quoted,7.589692304944908e-05
525,7,function,9.821954747575764e-05
526,7,fellow,2.6787149311570265e-05
527,7,actively,6.027108595103309e-05
528,12,limit,6.696787327892565e-05
529,12,civil,0.000102684072361
530,12,rights,0.0002768005428862
531,7,especially,0.0001674196831973
532,12,poor,8.929049770523421e-05
533,12,minorities,3.125167419683197e-05
534,7,utilizing,4.46452488526171e-06
535,3,well-known,2.4554886868939407e-05
536,18,supremacy,8.48259728199725e-05
537,12,dog-whistle,4.46452488526171e-06
538,18,you,0.0015023126238905
539,7,indicates,5.357429862314053e-05
540,7,commenting,2.2322624426308556e-05
541,7,bad,0.0001696519456399
542,1,faith,6.027108595103309e-05
543,7,dirty,4.46452488526171e-06
544,18,low-down,2.232262442630855e-06
545,1,racist,0.0002455488686893
546,8,poster,0.0002142971944925
547,7,advocating,4.241298640998625e-05
548,7,program,0.0002790328053288
549,3,which,0.0031586513563226
550,12,adopted,3.571619908209368e-05
551,3,would,0.0014465060628247
552,7,robbed,4.46452488526171e-06
553,12,mercy,2.232262442630855e-06
554,12,state,0.0010223761987249
555,10,nyt,5.803882350840223e-05
556,10,doxing,2.232262442630855e-06
557,10,jurors,1.785809954104684e-05
558,12,right,0.0005692269228708
559,3,mind,2.6787149311570265e-05
560,18,told,0.0001986713573941
561,7,identity,8.705823526260335e-05
562,12,public,0.0006897690947729
563,18,going,0.0002209939818204
564,12,vote,0.0004844009500508
565,12,conscience,2.232262442630855e-06
566,1,seems,0.0001830455202957
567,7,reasonable,5.803882350840223e-05
568,7,accurate,0.0003817168776898
569,7,neutral,2.0090361983677695e-05
570,7,summary,4.241298640998625e-05
571,7,idea,0.0001428647963283
572,10,inaccurately,1.1161312213154276e-05
573,5,assailant,2.232262442630855e-06
574,7,transgender,0.0001183099094594
575,2,attributing,2.2322624426308556e-05
576,7,articles,0.0001294712216725
577,7,stares,2.232262442630855e-06
578,7,writing,4.9109773737878815e-05
579,13,side,0.0002009036198367
580,13,effects,0.0002567101809025
581,13,fda,0.0004218976016572
582,12,children,0.0006451238459203
583,18,speak,4.241298640998625e-05
584,12,languages,6.6967873278925655e-06
585,3,can't,0.000120542171902
586,18,play,7.143239816418736e-05
587,3,together,3.794846152472454e-05
588,18,plenty,4.01807239673554e-05
589,3,examples,0.0002120649320499
590,18,opposite,8.929049770523421e-05
591,7,everyday,1.1161312213154276e-05
592,18,situations,3.125167419683197e-05
593,3,vacation,1.785809954104684e-05
594,7,classmates,2.232262442630855e-06
595,3,playgrounds,2.232262442630855e-06
596,7,etc,0.0001116131221315
597,3,although,0.0002187617193778
598,7,doubt,6.47356108362948e-05
599,12,climate,0.0001875100451809
600,12,change,0.0003370716288372
601,7,real,0.0009665696376591
602,1,doesn't,0.0002768005428862
603,7,mean,0.0001651874207546
604,12,hurricane,4.464524885261711e-05
605,12,ida,1.3393574655785133e-05
606,7,something,0.0002701037555583
607,1,expert,7.366466060681822e-05
608,18,cliff,2.232262442630855e-06
609,7,mass,9.821954747575764e-05
610,3,please,0.0001071485972462
611,7,book,0.0001317034841152
612,12,rush,2.4554886868939407e-05
613,0,limbaugh,2.0090361983677695e-05
614,12,army,3.3483936639462826e-05
615,7,ze'ev,2.232262442630855e-06
616,18,chafets,2.232262442630855e-06
617,7,chastised,2.232262442630855e-06
618,10,militant,4.46452488526171e-06
619,5,homosexuals,4.46452488526171e-06
620,10,shortly,1.1161312213154276e-05
621,18,thereafter,2.232262442630855e-06
622,18,began,3.3483936639462826e-05
623,1,broadcasting,1.1161312213154276e-05
624,1,irreverent,2.232262442630855e-06
625,6,tasteless,2.232262442630855e-06
626,18,aids,2.0090361983677695e-05
627,10,update,2.6787149311570265e-05
628,13,segments,8.92904977052342e-06
629,7,introduced,2.4554886868939407e-05
630,7,dionne,2.232262442630855e-06
631,7,warwick's,2.232262442630855e-06
632,0,i'll,1.5625837098415986e-05
633,18,love,3.571619908209368e-05
634,18,officials,0.0002388520813615
635,12,electric,2.4554886868939407e-05
636,12,reliability,8.92904977052342e-06
637,7,council,2.901941175420112e-05
638,12,texas,0.0004330589138703
639,7,manages,4.46452488526171e-06
640,18,most,0.0007232530314123
641,7,grid,2.901941175420112e-05
642,13,primary,6.696787327892565e-05
643,10,outages,2.2322624426308556e-05
644,7,tuesday,2.4554886868939407e-05
645,3,appeared,3.3483936639462826e-05
646,7,providers,4.01807239673554e-05
647,7,attached,8.259371037734164e-05
648,7,images,0.0001250066967873
649,18,exact,7.366466060681822e-05
650,7,alleged,8.259371037734164e-05
651,12,doe,6.6967873278925655e-06
652,13,authorized,8.48259728199725e-05
653,12,firms,1.1161312213154276e-05
654,12,produce,4.9109773737878815e-05
655,7,more,0.0039912852474239
656,7,energy,0.0001473293212136
657,1,looks,7.589692304944908e-05
658,10,legit,1.785809954104684e-05
659,7,qv,2.232262442630855e-06
660,18,i,0.0012389056556601
661,13,received,0.0002544779184599
662,7,option,4.241298640998625e-05
663,7,desktop,2.232262442630855e-06
664,10,relaunch,2.232262442630855e-06
665,7,app,5.357429862314053e-05
666,18,get,0.0006920013572155
667,7,appear,0.0001718842080825
668,7,mobile,1.3393574655785133e-05
669,12,newsweek,2.0090361983677695e-05
670,1,explains,0.0001741164705252
671,12,executive,0.0001406325338857
672,7,order,0.0002634069682304
673,18,very,0.0006518206332482
674,18,up,0.001033537510938
675,3,determine,7.366466060681822e-05
676,10,prisioners,2.232262442630855e-06
677,7,stating,0.000205368144722
678,7,issue,0.0002098326696073
679,8,john,0.0002120649320499
680,7,provides,0.0003794846152472
681,7,inline,2.232262442630855e-06
682,7,prove,0.000145097058771
683,12,police,0.0006674464703466
684,3,don,0.0002165294569351
685,3,t,0.001348286515349
686,13,help,0.0003013554297551
687,7,crime,0.0002076004071646
688,7,own,0.0004732396378377
689,7,report,0.0004285943889851
690,7,explanation,0.0001250066967873
691,18,how,0.0008192403164455
692,7,system,0.0003593942532635
693,7,works,0.0001562583709841
694,13,vaccines,0.0017076807686126
695,5,phrasing,1.3393574655785133e-05
696,7,linking,4.241298640998625e-05
697,7,forged,6.6967873278925655e-06
698,12,government,0.0007790595924781
699,7,document,0.0001093808596889
700,3,highly,0.0002165294569351
701,7,illegal,0.0002388520813615
702,8,young,0.0002120649320499
703,7,offering,2.901941175420112e-05
704,7,cash,3.125167419683197e-05
705,7,rewards,2.232262442630855e-06
706,7,reporting,0.0003460006786077
707,7,others,0.0004018072396735
708,10,vigilante,2.232262442630855e-06
709,7,behavior,0.0001049163348036
710,7,lawful,2.4554886868939407e-05
711,7,society,6.696787327892565e-05
712,7,operates,1.3393574655785133e-05
713,7,cites,0.000102684072361
714,7,opinion,0.0007902209046913
715,7,expressed,4.241298640998625e-05
716,7,acquaintance,2.232262442630855e-06
717,7,grounded,1.3393574655785133e-05
718,7,science,0.0002031358822794
719,3,though,0.000223226244263
720,7,disagree,6.027108595103309e-05
721,7,characterization,2.4554886868939407e-05
722,18,there's,0.0001428647963283
723,7,ceo,4.9109773737878815e-05
724,11,bitcoin,7.366466060681822e-05
725,7,suggesting,0.0001317034841152
726,7,buy,6.027108595103309e-05
727,11,currencies,6.6967873278925655e-06
728,7,claiming,0.0002879618550993
